Character,season_count,AppearedSeasons,Status,Background
Lori Grimes,3,"1, 2, 3",Dead,"Rick's wife, who has an affair with Shane when she believed Rick was dead.[18][19]"
Merle Dixon,3,"1, 2, 3",Dead,"The racist and volatile older brother of Daryl Dixon. In the third season, he is the right-hand man to the Governor.[37][38]"
Ofelia Salazar,3,"1, 2, 3",Dead,The strong-willed and capable daughter of Daniel and his wife Griselda.[2][20]
Philip Blake,3,"3, 4, 5",Dead,"The antagonistic leader of the town of Woodbury, the Governor is ruthless, paranoid, and dangerous.[39][40]"
Siddiq,3,"8, 9, 10",Dead,A former vagabond and doctor who is rescued by Carl and brought to Alexandria.[88][89]
Simon,3,"6, 7, 8",Dead,A high-ranking member of the Saviors serving as Negan's right-hand man.[80][81]
Spencer Monroe,3,"5, 6, 7",Dead,Deanna's son and a guard of Alexandria.[66][67]
Travis Manawa,3,"1, 2, 3",Dead,"A resolute and peacekeeping high school teacher, Madison's fiancé, Chris' father, and Liza's ex-husband.[2][20]"
Tyreese Williams,3,"3, 4, 5",Dead,"Tough and compassionate, Tyreese places an emphasis on moral reasoning. He struggles to cope with the immoral nature of some of the group's survival tactics and finds it difficult to kill in defense of the group.[43][44]"
Wes,3,"5, 6, 7",Dead,A nihilistic painter who allies with Morgan's group.[34]
Anne,3,"7, 8, 9",Unknown,"The impassive, enigmatic leader of the Scavengers.[84][85]"
Juanita Sanchez,2,"10, 11",Alive,A quirky and flamboyant survivor who has suffered various traumas in her past and later joins Eugene's group.[106]
Alpha,2,"9, 10",Dead,"The leader of the Whisperers, a mysterious group of survivors who wear the skins of walkers to mask their presence.[90][91]"
Beta,2,"9, 10",Dead,The second-in-command of the Whisperers and Alpha's right-hand man.[92][93]
Bob Stookey,2,"4, 5",Dead,A former army medic and recovering alcoholic who develops a close relationship with Sasha.[47][48]
Christopher Manawa,2,"1, 2",Dead,"Travis and Liza's rebellious teenage son, who becomes more brutal due to the landscape of the deadly new world.[2][22]"
Dale Horvath,2,"1, 2",Dead,An older member of the group who owned the RV in which a group of survivors traveled. Often the voice of reason within the group.[22][23]
Deanna Monroe,2,"5, 6",Dead,A former Congresswoman and original leader of Alexandria.[68][69]
Elizabeth Ortiz,2,"1, 2",Dead,"A no-nonsense and caring nursing student, Travis' ex-wife, and Chris' mother.[2][20][22]"
Gareth,2,"4, 5",Dead,The cannibalistic leader of Terminus who captures and coerces Rick's group into submission before being executed by Rick.[56][57]
Jeremiah Otto,2,"2, 3",Dead,"The racist and candid leader of Broke Jaw Ranch, and Jake and Troy's father.[28]"
Jessie Anderson,2,"5, 6",Dead,An Alexandria resident who develops a relationship with Rick.[62][63]
John Dorie Sr.,2,"6, 7",Dead,John's estranged father and a retired police officer.[36]
Leah Shaw,2,"10, 11",Dead,A member of the Reapers and former owner of Dog who formed a loving connection with Daryl while searching for Rick after his disappearance.[108]
Troy Otto,2,"3, 8",Dead,"The charismatic and impulsive son of Jeremiah, and Jake's half-brother.[27][28]"
Michael Mercer,1,11,Alive,A resident of the Commonwealth who serves as the general of the Commonwealth military.[107]
Pamela Milton,1,11,Alive,The governor of the Commonwealth.[109]
Dakota,1,6,Dead,A rebellious member of the Pioneers and Virginia's daughter.[34]
Jake Otto,1,3,Dead,"Jeremiah's moralistic and wiser son, Troy's half-brother, and Alicia's love interest.[28]"
Lance Hornsby,1,11,Dead,The deputy governor and director of operations to the Commonwealth.[109]
Lola Guerrero,1,3,Dead,"The empathetic leader of the Gonzalez Dam community, who is responsible for supplying water to the local population.[28]"
Alex,1,2,Unknown,A pragmatic and quiet survivor introduced in the Fear the Walking Dead: Flight 462 web series.[25]
